NAME,ADDRESS_AB,longitude,latitude
Simon Fraser,5215 - 33 Street N.W.,-114.1365505,51.10031941
St. Luke Bilingual Elementary,"1232 Northmount Dr., N.W.",-114.1226868,51.09082672
Deer Run,2127 - 146 Avenue S.E.,-114.0094545,50.92155543
St. Wilfrid Elementary,4225 - 44 Avenue N.E.,-113.9689943,51.09192654
St. Bonaventure,1710 Acadia Drive S.E.,-114.0471812,50.93173706
St. Rupert,111 Rundlehill Drive N.E.,-113.9705283,51.07689762
Sir John Franklin,2215 - 8 Avenue N.E.,-114.0079231,51.05967722
Calgary Academy,1677 93 rd Street S.W.,-114.2242479,51.03943008
Somerset,150 Somerset Manor S.W.,-114.0848851,50.89740583
Canadian Montessori,1112 70 Avenue S.W.,-114.0882622,50.99074473
New Brighton,30 New Brighton Drive SE,-113.9537078,50.91947717
Marlborough,4711 Maryvale Drive N.E.,-113.9654996,51.05608357
AADAC Youth Services,1005 - 17 Street N.W.,-114.101692,51.06110534
West Dover,3113 - 30 Avenue S.E.,-113.990648,51.02632922
Eastside Christian Academy,1320 Abbeydale Drive SE,-113.93022,51.05195233
Renert,14 Royal Vista Link NW,-114.2028365,51.15183702
St. Margaret,3320 Carol Drive N.W.,-114.0976374,51.08213532
Erin Woods,25 Erin Park Drive SE,-113.9657774,51.02269972
Westgate,150 Westminster Drive S.W.,-114.1591998,51.04448815
Radisson Park,2805 Radcliffe Drive S.E.,-113.992233,51.04616136
The Hamptons,10330 Hamptons Boulevard N.W.,-114.148507,51.14344573
Discovering Choices 2,#92 116 3800 Memorial Dr NE,-113.9784098,51.05533875
Bob Edwards,4424 Marlborough Drive N.E.,-113.9687737,51.0599294
École La Mosaïque,199 Martindale Blvd NE,-113.9575118,51.1137667
Chinook Learning Services,"2336 53 Ave SW, Calgary, T3E 1",-114.0654256,51.06858162
Young Adult Program,805 - 37 Street NW,-114.1344107,51.06466876
MAC Islamic School - Calgary Chapter,64 12 street NE,-114.1799394,51.11482356
Ian Bazalgette,3909 - 26 Avenue S.E.,-113.9776781,51.02983255
Woodbine,27 Woodfield Way S.W.,-114.1289426,50.93653289
Mother Mary Greene,115 Edenwold Drive N.W.,-114.1392446,51.12430679
Renfrew Educational Services-Bowness Centre,2050 - 21 Street N.E.,-114.2119244,51.09632928
James Short Memorial,6333 - 5 Avenue S.E.,-113.9427983,51.04786054
Yufeng Chinese,169 Citadel Ridge Close NW,-114.1834692,51.14609435
Sundance,200 Sunmills Drive S.E.,-114.0468131,50.90066057
Louise Dean,120 - 23 Street N.W.,-114.1146825,51.05315071
Trinity Christian,"#100, 295 Midpark Way S.E.",-114.0622404,50.90932823
Colonel Irvine,412 Northmount Drive N.W.,-114.0799321,51.09243676
West Springs,8999 Wentworth Ave S.W.,-114.2167498,51.05843778
Sunnyside,211 - 7 Street N.W.,-114.0795441,51.05656238
Our Lady of Lourdes,1916 2nd Street SW,-114.0681603,51.03567312
Cappy Smart,5808 Madigan Drive N.E.,-113.9450677,51.06369308
St. Bede Elementary,333 Bermuda Drive N.W.,-114.082846,51.13167374
Chris Akkerman,5004 Marbank Drive N.E.,-113.963011,51.06375727
Georges P. Vanier,509 - 32 Avenue N.E.,-114.0520691,51.08060531
Grant MacEwan,180 Falshire Drive N.E.,-113.9429503,51.10642762
Calgary Christian,2839 - 49 Street S.W.,-114.1589506,51.02746775
Glenmore Christian Academy Elementary,16520 - 24 Street S.W.,-114.1152537,50.90397951
Citadel Park,808 Citadel Drive NW,-114.1742345,51.14545106
